b,76.75,22.29,u,g,e,z,12.75,t,t,1,t,g,0,109
b,51.33,10,u,g,i,bb,0,t,t,11,f,g,0,1249
b,34.75,15,u,g,r,n,5.375,t,t,9,t,g,0,134
b,38.58,3.335,u,g,w,v,4,t,t,14,f,g,383,1344
a,22.42,11.25,y,p,x,h,0.75,t,t,4,f,g,0,321
b,41.92,0.42,u,g,c,h,0.21,t,t,6,f,g,220,948
b,29.58,4.5,u,g,w,v,7.5,t,t,2,t,g,330,0
a,32.17,1.46,u,g,w,v,1.085,t,t,16,f,g,120,2079
b,51.42,0.04,u,g,x,h,0.04,t,f,0,f,g,0,3000
a,22.83,2.29,u,g,q,h,2.29,t,t,7,t,g,140,2384
a,25,12.33,u,g,cc,h,3.5,t,t,6,f,g,400,458
b,26.75,1.125,u,g,x,h,1.25,t,f,0,f,g,0,5298
b,23.33,1.5,u,g,c,h,1.415,t,f,0,f,g,422,200
b,24.42,12.335,u,g,q,h,1.585,t,f,0,t,g,120,0
b,42.17,5.04,u,g,q,h,12.75,t,f,0,t,g,92,0
a,20.83,3,u,g,aa,v,0.04,t,f,0,f,g,100,0
b,23.08,11.5,u,g,w,h,2.125,t,t,11,t,g,290,284
a,25.17,2.875,u,g,x,h,0.875,t,f,0,f,g,360,0
b,43.08,0.375,y,p,c,v,0.375,t,t,8,t,g,300,162
a,35.75,0.915,u,g,aa,v,0.75,t,t,4,f,g,0,1583
b,59.5,2.75,u,g,w,v,1.75,t,t,5,t,g,60,58
b,21,3,y,p,d,v,1.085,t,t,8,t,g,160,1
b,21.92,0.54,y,p,x,v,0.04,t,t,1,t,g,840,59
a,65.17,14,u,g,ff,ff,0,t,t,11,t,g,0,1400
a,20.33,10,u,g,c,h,1,t,t,4,f,g,50,1465
b,32.25,0.165,y,p,c,h,3.25,t,t,1,t,g,432,8000
b,30.17,0.5,u,g,c,v,1.75,t,t,11,f,g,32,540
b,25.17,6,u,g,c,v,1,t,t,3,f,g,0,0
b,39.17,1.625,u,g,c,v,1.5,t,t,10,f,g,186,4700
b,39.08,6,u,g,m,v,1.29,t,t,5,t,g,108,1097
b,31.67,0.83,u,g,x,v,1.335,t,t,8,t,g,303,3290
b,41,0.04,u,g,e,v,0.04,f,t,1,f,s,560,0
b,48.5,4.25,u,g,m,v,0.125,t,f,0,t,g,225,0
b,32.67,9,y,p,w,h,5.25,t,f,0,t,g,154,0
a,28.08,15,y,p,e,z,0,t,f,0,f,g,0,13212
b,73.42,17.75,u,g,ff,ff,0,t,f,0,t,g,0,0
b,64.08,20,u,g,x,h,17.5,t,t,9,t,g,0,1000
b,51.58,15,u,g,c,v,8.5,t,t,9,f,g,0,0
b,26.67,1.75,y,p,c,v,1,t,t,5,t,g,160,5777
b,25.33,0.58,u,g,c,v,0.29,t,t,7,t,g,96,5124
b,30.17,6.5,u,g,cc,v,3.125,t,t,8,f,g,330,1200
b,27,0.75,u,g,c,h,4.25,t,t,3,t,g,312,150
b,23.17,0,?,?,?,?,0,f,f,0,f,p,?,0
b,34.17,5.25,u,g,w,v,0.085,f,f,0,t,g,290,6
b,38.67,0.21,u,g,k,v,0.085,t,f,0,t,g,280,0
b,25.75,0.75,u,g,c,bb,0.25,t,f,0,f,g,349,23
a,46.08,3,u,g,c,v,2.375,t,t,8,t,g,396,4159
a,21.5,6,u,g,aa,v,2.5,t,t,3,f,g,80,918
?,20.08,0.125,u,g,q,v,1,f,t,1,f,g,240,768
b,20.5,2.415,u,g,c,v,2,t,t,11,t,g,200,3000
